Query,Type,State,City
"BioLife Plasma, Mobile AL",Brand,AL,Mobile
"Grifols Biomat, Mobile AL",Brand,AL,Mobile
"Octapharma Plasma, Mobile AL",Brand,AL,Mobile
"KEDPLASMA, Mobile AL",Brand,AL,Mobile
"Interstate Blood Bank, Mobile AL",Brand,AL,Mobile
"ImmunoTek Bio Centers, Mobile AL",Brand,AL,Mobile
"Talecris Plasma Resources, Mobile AL",Brand,AL,Mobile
"Blood and Plasma Research, Mobile AL",Brand,AL,Mobile
"B Positive Plasma, Mobile AL",Brand,AL,Mobile
"Freedom Plasma, Mobile AL",Brand,AL,Mobile
"GCAM Plasma, Mobile AL",Brand,AL,Mobile
"ADMA BioCenters, Mobile AL",Brand,AL,Mobile
"Southern Blood Services, Mobile AL",Brand,AL,Mobile
"plasma donation center, Huntsville AL",General,AL,Huntsville
"CSL Plasma, Huntsville AL",Brand,AL,Huntsville
"BioLife Plasma, Huntsville AL",Brand,AL,Huntsville
"Grifols Biomat, Huntsville AL",Brand,AL,Huntsville
"Octapharma Plasma, Huntsville AL",Brand,AL,Huntsville
"KEDPLASMA, Huntsville AL",Brand,AL,Huntsville
"Interstate Blood Bank, Huntsville AL",Brand,AL,Huntsville
"ImmunoTek Bio Centers, Huntsville AL",Brand,AL,Huntsville
"Talecris Plasma Resources, Huntsville AL",Brand,AL,Huntsville
"Blood and Plasma Research, Huntsville AL",Brand,AL,Huntsville
"B Positive Plasma, Huntsville AL",Brand,AL,Huntsville
"Freedom Plasma, Huntsville AL",Brand,AL,Huntsville
"GCAM Plasma, Huntsville AL",Brand,AL,Huntsville
"ADMA BioCenters, Huntsville AL",Brand,AL,Huntsville
"Southern Blood Services, Huntsville AL",Brand,AL,Huntsville
"plasma donation center, Tuscaloosa AL",General,AL,Tuscaloosa
"CSL Plasma, Tuscaloosa AL",Brand,AL,Tuscaloosa
"BioLife Plasma, Tuscaloosa AL",Brand,AL,Tuscaloosa
"Grifols Biomat, Tuscaloosa AL",Brand,AL,Tuscaloosa
"Octapharma Plasma, Tuscaloosa AL",Brand,AL,Tuscaloosa
"KEDPLASMA, Tuscaloosa AL",Brand,AL,Tuscaloosa
"Interstate Blood Bank, Tuscaloosa AL",Brand,AL,Tuscaloosa
"ImmunoTek Bio Centers, Tuscaloosa AL",Brand,AL,Tuscaloosa
"Talecris Plasma Resources, Tuscaloosa AL",Brand,AL,Tuscaloosa
"Blood and Plasma Research, Tuscaloosa AL",Brand,AL,Tuscaloosa
"B Positive Plasma, Tuscaloosa AL",Brand,AL,Tuscaloosa
"Freedom Plasma, Tuscaloosa AL",Brand,AL,Tuscaloosa
"GCAM Plasma, Tuscaloosa AL",Brand,AL,Tuscaloosa
"ADMA BioCenters, Tuscaloosa AL",Brand,AL,Tuscaloosa
"Southern Blood Services, Tuscaloosa AL",Brand,AL,Tuscaloosa
"plasma donation center, Hoover AL",General,AL,Hoover
"CSL Plasma, Hoover AL",Brand,AL,Hoover
"BioLife Plasma, Hoover AL",Brand,AL,Hoover
"Grifols Biomat, Hoover AL",Brand,AL,Hoover
"Octapharma Plasma, Hoover AL",Brand,AL,Hoover
"KEDPLASMA, Hoover AL",Brand,AL,Hoover
"Interstate Blood Bank, Hoover AL",Brand,AL,Hoover
"ImmunoTek Bio Centers, Hoover AL",Brand,AL,Hoover
"Talecris Plasma Resources, Hoover AL",Brand,AL,Hoover
"Blood and Plasma Research, Hoover AL",Brand,AL,Hoover
"B Positive Plasma, Hoover AL",Brand,AL,Hoover
"Freedom Plasma, Hoover AL",Brand,AL,Hoover
"GCAM Plasma, Hoover AL",Brand,AL,Hoover
"ADMA BioCenters, Hoover AL",Brand,AL,Hoover
"Southern Blood Services, Hoover AL",Brand,AL,Hoover
"plasma donation center, Dothan AL",General,AL,Dothan
"CSL Plasma, Dothan AL",Brand,AL,Dothan
"BioLife Plasma, Dothan AL",Brand,AL,Dothan
"Grifols Biomat, Dothan AL",Brand,AL,Dothan
"Octapharma Plasma, Dothan AL",Brand,AL,Dothan
"KEDPLASMA, Dothan AL",Brand,AL,Dothan
"Interstate Blood Bank, Dothan AL",Brand,AL,Dothan
"ImmunoTek Bio Centers, Dothan AL",Brand,AL,Dothan
"Talecris Plasma Resources, Dothan AL",Brand,AL,Dothan
"Blood and Plasma Research, Dothan AL",Brand,AL,Dothan
"B Positive Plasma, Dothan AL",Brand,AL,Dothan
"Freedom Plasma, Dothan AL",Brand,AL,Dothan
"GCAM Plasma, Dothan AL",Brand,AL,Dothan
"ADMA BioCenters, Dothan AL",Brand,AL,Dothan
"Southern Blood Services, Dothan AL",Brand,AL,Dothan
"plasma donation center, Auburn AL",General,AL,Auburn
"CSL Plasma, Auburn AL",Brand,AL,Auburn
"BioLife Plasma, Auburn AL",Brand,AL,Auburn
"Grifols Biomat, Auburn AL",Brand,AL,Auburn
"Octapharma Plasma, Auburn AL",Brand,AL,Auburn
"KEDPLASMA, Auburn AL",Brand,AL,Auburn
"Interstate Blood Bank, Auburn AL",Brand,AL,Auburn
"ImmunoTek Bio Centers, Auburn AL",Brand,AL,Auburn
"Talecris Plasma Resources, Auburn AL",Brand,AL,Auburn
"Blood and Plasma Research, Auburn AL",Brand,AL,Auburn
"B Positive Plasma, Auburn AL",Brand,AL,Auburn
"Freedom Plasma, Auburn AL",Brand,AL,Auburn
"GCAM Plasma, Auburn AL",Brand,AL,Auburn
"ADMA BioCenters, Auburn AL",Brand,AL,Auburn
"Southern Blood Services, Auburn AL",Brand,AL,Auburn
"plasma donation center, Decatur AL",General,AL,Decatur
"CSL Plasma, Decatur AL",Brand,AL,Decatur
"BioLife Plasma, Decatur AL",Brand,AL,Decatur
"Grifols Biomat, Decatur AL",Brand,AL,Decatur
"Octapharma Plasma, Decatur AL",Brand,AL,Decatur
"KEDPLASMA, Decatur AL",Brand,AL,Decatur
"Interstate Blood Bank, Decatur AL",Brand,AL,Decatur
"ImmunoTek Bio Centers, Decatur AL",Brand,AL,Decatur
"Talecris Plasma Resources, Decatur AL",Brand,AL,Decatur
"Blood and Plasma Research, Decatur AL",Brand,AL,Decatur
"B Positive Plasma, Decatur AL",Brand,AL,Decatur
"Freedom Plasma, Decatur AL",Brand,AL,Decatur
"GCAM Plasma, Decatur AL",Brand,AL,Decatur
"ADMA BioCenters, Decatur AL",Brand,AL,Decatur
"Southern Blood Services, Decatur AL",Brand,AL,Decatur
"plasma donation center, Madison AL",General,AL,Madison
"CSL Plasma, Madison AL",Brand,AL,Madison
"BioLife Plasma, Madison AL",Brand,AL,Madison
"Grifols Biomat, Madison AL",Brand,AL,Madison
"Octapharma Plasma, Madison AL",Brand,AL,Madison
"KEDPLASMA, Madison AL",Brand,AL,Madison
"Interstate Blood Bank, Madison AL",Brand,AL,Madison
"ImmunoTek Bio Centers, Madison AL",Brand,AL,Madison
"Talecris Plasma Resources, Madison AL",Brand,AL,Madison
"Blood and Plasma Research, Madison AL",Brand,AL,Madison
"B Positive Plasma, Madison AL",Brand,AL,Madison
"Freedom Plasma, Madison AL",Brand,AL,Madison
"GCAM Plasma, Madison AL",Brand,AL,Madison
"ADMA BioCenters, Madison AL",Brand,AL,Madison
"Southern Blood Services, Madison AL",Brand,AL,Madison
"plasma donation center, AK",General,AK,
"CSL Plasma, AK",Brand,AK,
"BioLife Plasma, AK",Brand,AK,
"Grifols Biomat, AK",Brand,AK,
"Octapharma Plasma, AK",Brand,AK,
"KEDPLASMA, AK",Brand,AK,
"Interstate Blood Bank, AK",Brand,AK,
"ImmunoTek Bio Centers, AK",Brand,AK,
"Talecris Plasma Resources, AK",Brand,AK,
"Blood and Plasma Research, AK",Brand,AK,
"B Positive Plasma, AK",Brand,AK,
"Freedom Plasma, AK",Brand,AK,
"GCAM Plasma, AK",Brand,AK,
"ADMA BioCenters, AK",Brand,AK,
"Southern Blood Services, AK",Brand,AK,
"plasma donation center, Anchorage AK",General,AK,Anchorage
"CSL Plasma, Anchorage AK",Brand,AK,Anchorage
"BioLife Plasma, Anchorage AK",Brand,AK,Anchorage
"Grifols Biomat, Anchorage AK",Brand,AK,Anchorage
"Octapharma Plasma, Anchorage AK",Brand,AK,Anchorage
"KEDPLASMA, Anchorage AK",Brand,AK,Anchorage
"Interstate Blood Bank, Anchorage AK",Brand,AK,Anchorage
"ImmunoTek Bio Centers, Anchorage AK",Brand,AK,Anchorage
"Talecris Plasma Resources, Anchorage AK",Brand,AK,Anchorage
"Blood and Plasma Research, Anchorage AK",Brand,AK,Anchorage
"B Positive Plasma, Anchorage AK",Brand,AK,Anchorage
"Freedom Plasma, Anchorage AK",Brand,AK,Anchorage
"GCAM Plasma, Anchorage AK",Brand,AK,Anchorage
"ADMA BioCenters, Anchorage AK",Brand,AK,Anchorage
"Southern Blood Services, Anchorage AK",Brand,AK,Anchorage
"plasma donation center, Fairbanks AK",General,AK,Fairbanks
"CSL Plasma, Fairbanks AK",Brand,AK,Fairbanks
"BioLife Plasma, Fairbanks AK",Brand,AK,Fairbanks
"Grifols Biomat, Fairbanks AK",Brand,AK,Fairbanks
"Octapharma Plasma, Fairbanks AK",Brand,AK,Fairbanks
"KEDPLASMA, Fairbanks AK",Brand,AK,Fairbanks
"Interstate Blood Bank, Fairbanks AK",Brand,AK,Fairbanks
"ImmunoTek Bio Centers, Fairbanks AK",Brand,AK,Fairbanks
"Talecris Plasma Resources, Fairbanks AK",Brand,AK,Fairbanks
"Blood and Plasma Research, Fairbanks AK",Brand,AK,Fairbanks
"B Positive Plasma, Fairbanks AK",Brand,AK,Fairbanks
"Freedom Plasma, Fairbanks AK",Brand,AK,Fairbanks
"GCAM Plasma, Fairbanks AK",Brand,AK,Fairbanks
"ADMA BioCenters, Fairbanks AK",Brand,AK,Fairbanks
"Southern Blood Services, Fairbanks AK",Brand,AK,Fairbanks
"plasma donation center, Juneau AK",General,AK,Juneau
"CSL Plasma, Juneau AK",Brand,AK,Juneau
"BioLife Plasma, Juneau AK",Brand,AK,Juneau
"Grifols Biomat, Juneau AK",Brand,AK,Juneau
"Octapharma Plasma, Juneau AK",Brand,AK,Juneau
"KEDPLASMA, Juneau AK",Brand,AK,Juneau
"Interstate Blood Bank, Juneau AK",Brand,AK,Juneau
"ImmunoTek Bio Centers, Juneau AK",Brand,AK,Juneau
"Talecris Plasma Resources, Juneau AK",Brand,AK,Juneau
"Blood and Plasma Research, Juneau AK",Brand,AK,Juneau
"B Positive Plasma, Juneau AK",Brand,AK,Juneau
"Freedom Plasma, Juneau AK",Brand,AK,Juneau
"GCAM Plasma, Juneau AK",Brand,AK,Juneau
"ADMA BioCenters, Juneau AK",Brand,AK,Juneau
"Southern Blood Services, Juneau AK",Brand,AK,Juneau
"plasma donation center, Sitka AK",General,AK,Sitka
"CSL Plasma, Sitka AK",Brand,AK,Sitka
"BioLife Plasma, Sitka AK",Brand,AK,Sitka
"Grifols Biomat, Sitka AK",Brand,AK,Sitka
"Octapharma Plasma, Sitka AK",Brand,AK,Sitka
"KEDPLASMA, Sitka AK",Brand,AK,Sitka
"Interstate Blood Bank, Sitka AK",Brand,AK,Sitka
"ImmunoTek Bio Centers, Sitka AK",Brand,AK,Sitka
"Talecris Plasma Resources, Sitka AK",Brand,AK,Sitka
"Blood and Plasma Research, Sitka AK",Brand,AK,Sitka
"B Positive Plasma, Sitka AK",Brand,AK,Sitka
"Freedom Plasma, Sitka AK",Brand,AK,Sitka
"GCAM Plasma, Sitka AK",Brand,AK,Sitka
"ADMA BioCenters, Sitka AK",Brand,AK,Sitka
"Southern Blood Services, Sitka AK",Brand,AK,Sitka
"plasma donation center, Ketchikan AK",General,AK,Ketchikan
"CSL Plasma, Ketchikan AK",Brand,AK,Ketchikan
"BioLife Plasma, Ketchikan AK",Brand,AK,Ketchikan
"Grifols Biomat, Ketchikan AK",Brand,AK,Ketchikan
"Octapharma Plasma, Ketchikan AK",Brand,AK,Ketchikan
"KEDPLASMA, Ketchikan AK",Brand,AK,Ketchikan
"Interstate Blood Bank, Ketchikan AK",Brand,AK,Ketchikan
"ImmunoTek Bio Centers, Ketchikan AK",Brand,AK,Ketchikan
"Talecris Plasma Resources, Ketchikan AK",Brand,AK,Ketchikan
"Blood and Plasma Research, Ketchikan AK",Brand,AK,Ketchikan
"B Positive Plasma, Ketchikan AK",Brand,AK,Ketchikan
"Freedom Plasma, Ketchikan AK",Brand,AK,Ketchikan
"GCAM Plasma, Ketchikan AK",Brand,AK,Ketchikan
"ADMA BioCenters, Ketchikan AK",Brand,AK,Ketchikan
"Southern Blood Services, Ketchikan AK",Brand,AK,Ketchikan
"plasma donation center, Wasilla AK",General,AK,Wasilla
"CSL Plasma, Wasilla AK",Brand,AK,Wasilla
"BioLife Plasma, Wasilla AK",Brand,AK,Wasilla
"Grifols Biomat, Wasilla AK",Brand,AK,Wasilla
"Octapharma Plasma, Wasilla AK",Brand,AK,Wasilla
"KEDPLASMA, Wasilla AK",Brand,AK,Wasilla
"Interstate Blood Bank, Wasilla AK",Brand,AK,Wasilla
"ImmunoTek Bio Centers, Wasilla AK",Brand,AK,Wasilla
"Talecris Plasma Resources, Wasilla AK",Brand,AK,Wasilla
"Blood and Plasma Research, Wasilla AK",Brand,AK,Wasilla
"B Positive Plasma, Wasilla AK",Brand,AK,Wasilla
"Freedom Plasma, Wasilla AK",Brand,AK,Wasilla
"GCAM Plasma, Wasilla AK",Brand,AK,Wasilla
"ADMA BioCenters, Wasilla AK",Brand,AK,Wasilla
"Southern Blood Services, Wasilla AK",Brand,AK,Wasilla
"plasma donation center, Kenai AK",General,AK,Kenai
"CSL Plasma, Kenai AK",Brand,AK,Kenai
"BioLife Plasma, Kenai AK",Brand,AK,Kenai
"Grifols Biomat, Kenai AK",Brand,AK,Kenai
"Octapharma Plasma, Kenai AK",Brand,AK,Kenai
"KEDPLASMA, Kenai AK",Brand,AK,Kenai
"Interstate Blood Bank, Kenai AK",Brand,AK,Kenai
"ImmunoTek Bio Centers, Kenai AK",Brand,AK,Kenai
"Talecris Plasma Resources, Kenai AK",Brand,AK,Kenai
"Blood and Plasma Research, Kenai AK",Brand,AK,Kenai
"B Positive Plasma, Kenai AK",Brand,AK,Kenai
"Freedom Plasma, Kenai AK",Brand,AK,Kenai
"GCAM Plasma, Kenai AK",Brand,AK,Kenai
"ADMA BioCenters, Kenai AK",Brand,AK,Kenai
"Southern Blood Services, Kenai AK",Brand,AK,Kenai
"plasma donation center, Kodiak AK",General,AK,Kodiak
"CSL Plasma, Kodiak AK",Brand,AK,Kodiak
"BioLife Plasma, Kodiak AK",Brand,AK,Kodiak
"Grifols Biomat, Kodiak AK",Brand,AK,Kodiak
"Octapharma Plasma, Kodiak AK",Brand,AK,Kodiak
"KEDPLASMA, Kodiak AK",Brand,AK,Kodiak
"Interstate Blood Bank, Kodiak AK",Brand,AK,Kodiak
"ImmunoTek Bio Centers, Kodiak AK",Brand,AK,Kodiak
"Talecris Plasma Resources, Kodiak AK",Brand,AK,Kodiak
"Blood and Plasma Research, Kodiak AK",Brand,AK,Kodiak
"B Positive Plasma, Kodiak AK",Brand,AK,Kodiak
"Freedom Plasma, Kodiak AK",Brand,AK,Kodiak
"GCAM Plasma, Kodiak AK",Brand,AK,Kodiak
"ADMA BioCenters, Kodiak AK",Brand,AK,Kodiak
"Southern Blood Services, Kodiak AK",Brand,AK,Kodiak
"plasma donation center, Bethel AK",General,AK,Bethel
"CSL Plasma, Bethel AK",Brand,AK,Bethel
"BioLife Plasma, Bethel AK",Brand,AK,Bethel
"Grifols Biomat, Bethel AK",Brand,AK,Bethel
"Octapharma Plasma, Bethel AK",Brand,AK,Bethel
"KEDPLASMA, Bethel AK",Brand,AK,Bethel
"Interstate Blood Bank, Bethel AK",Brand,AK,Bethel
"ImmunoTek Bio Centers, Bethel AK",Brand,AK,Bethel
"Talecris Plasma Resources, Bethel AK",Brand,AK,Bethel
"Blood and Plasma Research, Bethel AK",Brand,AK,Bethel
"B Positive Plasma, Bethel AK",Brand,AK,Bethel
"Freedom Plasma, Bethel AK",Brand,AK,Bethel
"GCAM Plasma, Bethel AK",Brand,AK,Bethel
"ADMA BioCenters, Bethel AK",Brand,AK,Bethel
"Southern Blood Services, Bethel AK",Brand,AK,Bethel
"plasma donation center, Palmer AK",General,AK,Palmer
"CSL Plasma, Palmer AK",Brand,AK,Palmer
"BioLife Plasma, Palmer AK",Brand,AK,Palmer
"Grifols Biomat, Palmer AK",Brand,AK,Palmer
"Octapharma Plasma, Palmer AK",Brand,AK,Palmer
"KEDPLASMA, Palmer AK",Brand,AK,Palmer
"Interstate Blood Bank, Palmer AK",Brand,AK,Palmer
"ImmunoTek Bio Centers, Palmer AK",Brand,AK,Palmer
"Talecris Plasma Resources, Palmer AK",Brand,AK,Palmer
"Blood and Plasma Research, Palmer AK",Brand,AK,Palmer
"B Positive Plasma, Palmer AK",Brand,AK,Palmer
"Freedom Plasma, Palmer AK",Brand,AK,Palmer
"GCAM Plasma, Palmer AK",Brand,AK,Palmer
"ADMA BioCenters, Palmer AK",Brand,AK,Palmer
"Southern Blood Services, Palmer AK",Brand,AK,Palmer
"plasma donation center, AZ",General,AZ,
"CSL Plasma, AZ",Brand,AZ,
"BioLife Plasma, AZ",Brand,AZ,
"Grifols Biomat, AZ",Brand,AZ,
"Octapharma Plasma, AZ",Brand,AZ,
"KEDPLASMA, AZ",Brand,AZ,
"Interstate Blood Bank, AZ",Brand,AZ,
"ImmunoTek Bio Centers, AZ",Brand,AZ,
"Talecris Plasma Resources, AZ",Brand,AZ,
"Blood and Plasma Research, AZ",Brand,AZ,
"B Positive Plasma, AZ",Brand,AZ,
"Freedom Plasma, AZ",Brand,AZ,
"GCAM Plasma, AZ",Brand,AZ,
"ADMA BioCenters, AZ",Brand,AZ,
"Southern Blood Services, AZ",Brand,AZ,
"plasma donation center, Phoenix AZ",General,AZ,Phoenix
"CSL Plasma, Phoenix AZ",Brand,AZ,Phoenix
"BioLife Plasma, Phoenix AZ",Brand,AZ,Phoenix
"Grifols Biomat, Phoenix AZ",Brand,AZ,Phoenix
"Octapharma Plasma, Phoenix AZ",Brand,AZ,Phoenix
"KEDPLASMA, Phoenix AZ",Brand,AZ,Phoenix
"Interstate Blood Bank, Phoenix AZ",Brand,AZ,Phoenix
"ImmunoTek Bio Centers, Phoenix AZ",Brand,AZ,Phoenix
"Talecris Plasma Resources, Phoenix AZ",Brand,AZ,Phoenix
"Blood and Plasma Research, Phoenix AZ",Brand,AZ,Phoenix
"B Positive Plasma, Phoenix AZ",Brand,AZ,Phoenix
"Freedom Plasma, Phoenix AZ",Brand,AZ,Phoenix
"GCAM Plasma, Phoenix AZ",Brand,AZ,Phoenix
"ADMA BioCenters, Phoenix AZ",Brand,AZ,Phoenix
"Southern Blood Services, Phoenix AZ",Brand,AZ,Phoenix
"plasma donation center, Tucson AZ",General,AZ,Tucson
"CSL Plasma, Tucson AZ",Brand,AZ,Tucson
"BioLife Plasma, Tucson AZ",Brand,AZ,Tucson
"Grifols Biomat, Tucson AZ",Brand,AZ,Tucson
"Octapharma Plasma, Tucson AZ",Brand,AZ,Tucson
"KEDPLASMA, Tucson AZ",Brand,AZ,Tucson
"Interstate Blood Bank, Tucson AZ",Brand,AZ,Tucson
"ImmunoTek Bio Centers, Tucson AZ",Brand,AZ,Tucson
"Talecris Plasma Resources, Tucson AZ",Brand,AZ,Tucson
"Blood and Plasma Research, Tucson AZ",Brand,AZ,Tucson
"B Positive Plasma, Tucson AZ",Brand,AZ,Tucson
"Freedom Plasma, Tucson AZ",Brand,AZ,Tucson
"GCAM Plasma, Tucson AZ",Brand,AZ,Tucson
"ADMA BioCenters, Tucson AZ",Brand,AZ,Tucson
"Southern Blood Services, Tucson AZ",Brand,AZ,Tucson
"plasma donation center, Mesa AZ",General,AZ,Mesa
"CSL Plasma, Mesa AZ",Brand,AZ,Mesa
"BioLife Plasma, Mesa AZ",Brand,AZ,Mesa
"Grifols Biomat, Mesa AZ",Brand,AZ,Mesa
"Octapharma Plasma, Mesa AZ",Brand,AZ,Mesa
"KEDPLASMA, Mesa AZ",Brand,AZ,Mesa
"Interstate Blood Bank, Mesa AZ",Brand,AZ,Mesa
"ImmunoTek Bio Centers, Mesa AZ",Brand,AZ,Mesa
"Talecris Plasma Resources, Mesa AZ",Brand,AZ,Mesa
"Blood and Plasma Research, Mesa AZ",Brand,AZ,Mesa
"B Positive Plasma, Mesa AZ",Brand,AZ,Mesa
"Freedom Plasma, Mesa AZ",Brand,AZ,Mesa
"GCAM Plasma, Mesa AZ",Brand,AZ,Mesa
"ADMA BioCenters, Mesa AZ",Brand,AZ,Mesa
"Southern Blood Services, Mesa AZ",Brand,AZ,Mesa
"plasma donation center, Chandler AZ",General,AZ,Chandler
"CSL Plasma, Chandler AZ",Brand,AZ,Chandler
"BioLife Plasma, Chandler AZ",Brand,AZ,Chandler
"Grifols Biomat, Chandler AZ",Brand,AZ,Chandler
"Octapharma Plasma, Chandler AZ",Brand,AZ,Chandler
"KEDPLASMA, Chandler AZ",Brand,AZ,Chandler
"Interstate Blood Bank, Chandler AZ",Brand,AZ,Chandler
"ImmunoTek Bio Centers, Chandler AZ",Brand,AZ,Chandler
"Talecris Plasma Resources, Chandler AZ",Brand,AZ,Chandler
"Blood and Plasma Research, Chandler AZ",Brand,AZ,Chandler
"B Positive Plasma, Chandler AZ",Brand,AZ,Chandler
"Freedom Plasma, Chandler AZ",Brand,AZ,Chandler
"GCAM Plasma, Chandler AZ",Brand,AZ,Chandler
"ADMA BioCenters, Chandler AZ",Brand,AZ,Chandler
"Southern Blood Services, Chandler AZ",Brand,AZ,Chandler
"plasma donation center, Glendale AZ",General,AZ,Glendale
"CSL Plasma, Glendale AZ",Brand,AZ,Glendale
"BioLife Plasma, Glendale AZ",Brand,AZ,Glendale
"Grifols Biomat, Glendale AZ",Brand,AZ,Glendale
"Octapharma Plasma, Glendale AZ",Brand,AZ,Glendale
"KEDPLASMA, Glendale AZ",Brand,AZ,Glendale
"Interstate Blood Bank, Glendale AZ",Brand,AZ,Glendale
"ImmunoTek Bio Centers, Glendale AZ",Brand,AZ,Glendale
"Talecris Plasma Resources, Glendale AZ",Brand,AZ,Glendale
"Blood and Plasma Research, Glendale AZ",Brand,AZ,Glendale
"B Positive Plasma, Glendale AZ",Brand,AZ,Glendale
"Freedom Plasma, Glendale AZ",Brand,AZ,Glendale
"GCAM Plasma, Glendale AZ",Brand,AZ,Glendale
"ADMA BioCenters, Glendale AZ",Brand,AZ,Glendale
"Southern Blood Services, Glendale AZ",Brand,AZ,Glendale
"plasma donation center, Scottsdale AZ",General,AZ,Scottsdale
"CSL Plasma, Scottsdale AZ",Brand,AZ,Scottsdale
"BioLife Plasma, Scottsdale AZ",Brand,AZ,Scottsdale
"Grifols Biomat, Scottsdale AZ",Brand,AZ,Scottsdale
"Octapharma Plasma, Scottsdale AZ",Brand,AZ,Scottsdale
"KEDPLASMA, Scottsdale AZ",Brand,AZ,Scottsdale
"Interstate Blood Bank, Scottsdale AZ",Brand,AZ,Scottsdale
"ImmunoTek Bio Centers, Scottsdale AZ",Brand,AZ,Scottsdale
"Talecris Plasma Resources, Scottsdale AZ",Brand,AZ,Scottsdale
"Blood and Plasma Research, Scottsdale AZ",Brand,AZ,Scottsdale
"B Positive Plasma, Scottsdale AZ",Brand,AZ,Scottsdale
"Freedom Plasma, Scottsdale AZ",Brand,AZ,Scottsdale
"GCAM Plasma, Scottsdale AZ",Brand,AZ,Scottsdale
"ADMA BioCenters, Scottsdale AZ",Brand,AZ,Scottsdale
"Southern Blood Services, Scottsdale AZ",Brand,AZ,Scottsdale
"plasma donation center, Gilbert AZ",General,AZ,Gilbert
"CSL Plasma, Gilbert AZ",Brand,AZ,Gilbert
"BioLife Plasma, Gilbert AZ",Brand,AZ,Gilbert
"Grifols Biomat, Gilbert AZ",Brand,AZ,Gilbert
"Octapharma Plasma, Gilbert AZ",Brand,AZ,Gilbert
"KEDPLASMA, Gilbert AZ",Brand,AZ,Gilbert
"Interstate Blood Bank, Gilbert AZ",Brand,AZ,Gilbert
"ImmunoTek Bio Centers, Gilbert AZ",Brand,AZ,Gilbert
"Talecris Plasma Resources, Gilbert AZ",Brand,AZ,Gilbert
"Blood and Plasma Research, Gilbert AZ",Brand,AZ,Gilbert
"B Positive Plasma, Gilbert AZ",Brand,AZ,Gilbert
"Freedom Plasma, Gilbert AZ",Brand,AZ,Gilbert
"GCAM Plasma, Gilbert AZ",Brand,AZ,Gilbert
"ADMA BioCenters, Gilbert AZ",Brand,AZ,Gilbert
"Southern Blood Services, Gilbert AZ",Brand,AZ,Gilbert
"plasma donation center, Tempe AZ",General,AZ,Tempe
"CSL Plasma, Tempe AZ",Brand,AZ,Tempe
"BioLife Plasma, Tempe AZ",Brand,AZ,Tempe
"Grifols Biomat, Tempe AZ",Brand,AZ,Tempe
"Octapharma Plasma, Tempe AZ",Brand,AZ,Tempe
"KEDPLASMA, Tempe AZ",Brand,AZ,Tempe
"Interstate Blood Bank, Tempe AZ",Brand,AZ,Tempe
"ImmunoTek Bio Centers, Tempe AZ",Brand,AZ,Tempe
